t,growth_rate,npi_index,period
2020-01-23,0.24279546306037636,13.89,COVID Wave 1
2020-01-24,0.23724480736876988,13.89,COVID Wave 1
2020-01-25,0.22803979525347137,25,COVID Wave 1
2020-01-26,0.21729381892129052,36.11,COVID Wave 1
2020-01-27,0.2041411383252245,41.67,COVID Wave 1
2020-01-28,0.1884040734689862,45.37,COVID Wave 1
2020-01-29,0.17012074525244536,49.07,COVID Wave 1
2020-01-30,0.14832765984106622,49.07,COVID Wave 1
2020-01-31,0.1246617084342653,49.07,COVID Wave 1
2020-02-01,0.10098830478050776,49.07,COVID Wave 1
2020-02-02,0.07870593323133318,49.07,COVID Wave 1
2020-02-03,0.05644015758423909,49.07,COVID Wave 1
2020-02-04,0.03600760184459324,49.07,COVID Wave 1
2020-02-05,0.01692781714007771,52.78,COVID Wave 1
2020-02-06,-3.0096639460200657e-4,52.78,COVID Wave 1
2020-02-07,-0.01613837410291814,52.78,COVID Wave 1
2020-02-08,-0.02808438217021073,52.78,COVID Wave 1
2020-02-09,-0.03798999781699348,52.78,COVID Wave 1
2020-02-10,-0.04619140598380383,52.78,COVID Wave 1
2020-02-11,-0.05262568508135626,52.78,COVID Wave 1
2020-02-12,-0.05828233632962773,52.78,COVID Wave 1
2020-02-13,-0.06171496312226306,52.78,COVID Wave 1
2020-02-14,-0.06491035709985483,52.78,COVID Wave 1
2020-02-15,-0.0665635613457278,52.78,COVID Wave 1
2020-02-16,-0.06792185485892438,52.78,COVID Wave 1
2020-02-17,-0.0696893979916772,52.78,COVID Wave 1
2020-02-18,-0.06959231823380935,52.78,COVID Wave 1
2020-02-19,-0.06915888355321609,52.78,COVID Wave 1
2020-02-20,-0.06854541407953857,52.78,COVID Wave 1
2020-02-21,-0.06716755522115331,52.78,COVID Wave 1
2020-02-22,-0.06356361169910107,52.78,COVID Wave 1
2020-02-23,-0.05971312492123676,52.78,COVID Wave 1
2020-02-24,-0.05448773479716427,52.78,COVID Wave 1
2020-02-25,-0.04683608818858768,52.78,COVID Wave 1
2020-02-26,-0.03684704055171482,52.78,COVID Wave 1
2020-02-27,-0.0239382434093994,52.78,COVID Wave 1
2020-02-28,-0.00834871337700484,52.78,COVID Wave 1
2020-02-29,0.01077625469600198,52.78,COVID Wave 1
2020-03-01,0.03235033660997791,52.78,COVID Wave 1
2020-03-02,0.05855070759860474,49.07,COVID Wave 1
2020-03-03,0.08694367568540468,49.07,COVID Wave 1
2020-03-04,0.11859661083570712,49.07,COVID Wave 1
2020-03-05,0.15198068539291293,49.07,COVID Wave 1
2020-03-06,0.1862766905845176,49.07,COVID Wave 1
2020-03-07,0.2189182561411826,49.07,COVID Wave 1
2020-03-08,0.2490844582319084,49.07,COVID Wave 1
2020-03-09,0.2744851024649215,49.07,COVID Wave 1
2020-03-10,0.29287531822627544,49.07,COVID Wave 1
2020-03-11,0.30264468089824903,49.07,COVID Wave 1
2020-03-12,0.3032798258519564,49.07,COVID Wave 1
