t,sse,n,k_input
0,ssn,0.7066666666666667,0.1
0,ss_link,0,0.1
0,nn,0.29333333333333333,0.1
2,ssn,0,0.1
2,ss_link,1,0.1
2,nn,0,0.1
3,ssn,0.13861386138613863,0.1
3,ss_link,1.2376237623762376,0.1
3,nn,0.04950495049504951,0.1
4,ssn,0.3399014778325123,0.1
4,ss_link,2.2019704433497536,0.1
4,nn,0.12807881773399016,0.1
5,ssn,0.46382978723404256,0.1
5,ss_link,3.6,0.1
5,nn,0.16170212765957448,0.1
6,ssn,0.5654008438818565,0.1
6,ss_link,3.649789029535865,0.1
6,nn,0.12236286919831224,0.1
7,ssn,0.4553191489361702,0.1
7,ss_link,3.2595744680851064,0.1
7,nn,0.20425531914893616,0.1
8,ssn,0.3832599118942731,0.1
8,ss_link,2.9118942731277535,0.1
8,nn,0.3039647577092511,0.1
9,ssn,0.47577092511013214,0.1
9,ss_link,3.502202643171806,0.1
9,nn,0.4669603524229075,0.1
10,ssn,0.5848214285714286,0.1
10,ss_link,4.4375,0.1
10,nn,0.7098214285714286,0.1
11,ssn,0.688,0.1
11,ss_link,5.124,0.1
11,nn,0.94,0.1
12,ssn,0.7481481481481481,0.1
12,ss_link,5.366666666666666,0.1
12,nn,0.9925925925925926,0.1
13,ssn,0.7692307692307693,0.1
13,ss_link,5.9,0.1
13,nn,1.0807692307692307,0.1
14,ssn,0.8924731182795699,0.1
14,ss_link,5.806451612903226,0.1
14,nn,1.1648745519713262,0.1
15,ssn,0.9927272727272727,0.1
15,ss_link,7,0.1
15,nn,1.3636363636363635,0.1
16,ssn,1.1340579710144927,0.1
16,ss_link,7.884057971014493,0.1
16,nn,1.605072463768116,0.1
17,ssn,1.1594202898550725,0.1
17,ss_link,9.119565217391305,0.1
17,nn,1.934782608695652,0.1
18,ssn,1.3846153846153846,0.1
18,ss_link,9.77972027972028,0.1
18,nn,2.013986013986014,0.1
19,ssn,1.6148409893992932,0.1
19,ss_link,11.151943462897526,0.1
19,nn,2.2261484098939928,0.1
20,ssn,1.6137931034482758,0.1
20,ss_link,12.286206896551723,0.1
20,nn,2.5827586206896553,0.1
21,ssn,1.8350515463917525,0.1
21,ss_link,13.962199312714777,0.1
21,nn,3.0309278350515463,0.1
22,ssn,2.1752577319587627,0.1
22,ss_link,15.195876288659793,0.1
22,nn,3.2783505154639174,0.1
23,ssn,2.4677966101694917,0.1
23,ss_link,17.752542372881354,0.1
23,nn,3.5898305084745763,0.1
24,ssn,2.64527027027027,0.1
24,ss_link,19.510135135135137,0.1
24,nn,4.074324324324325,0.1
25,ssn,2.91864406779661,0.1
25,ss_link,22.34915254237288,0.1
25,nn,4.68135593220339,0.1
26,ssn,3.375,0.1
26,ss_link,24.513513513513512,0.1
26,nn,5.047297297297297,0.1
27,ssn,3.781144781144781,0.1
27,ss_link,27.986531986531986,0.1
27,nn,5.956228956228956,0.1
28,ssn,4.233333333333333,0.1
28,ss_link,31.35333333333333,0.1
28,nn,6.726666666666667,0.1
29,ssn,4.676666666666667,0.1
29,ss_link,34.87,0.1
29,nn,7.4366666666666665,0.1
30,ssn,5.306666666666667,0.1
30,ss_link,39.626666666666665,0.1
30,nn,8.696666666666667,0.1
31,ssn,5.98,0.1
31,ss_link,45.02333333333333,0.1
31,nn,9.483333333333333,0.1
32,ssn,6.56,0.1
32,ss_link,50.82333333333333,0.1
32,nn,10.573333333333334,0.1
33,ssn,7.493333333333333,0.1
33,ss_link,56.01,0.1
33,nn,11.74,0.1
34,ssn,8.72,0.1
34,ss_link,63.57333333333333,0.1
34,nn,13.556666666666667,0.1
35,ssn,9.406666666666666,0.1
35,ss_link,71.45333333333333,0.1
35,nn,15.186666666666667,0.1
36,ssn,10.886666666666667,0.1
36,ss_link,78.82333333333334,0.1
36,nn,16.623333333333335,0.1
37,ssn,11.713333333333333,0.1
37,ss_link,89.28333333333333,0.1
37,nn,19.49,0.1
38,ssn,13.146666666666667,0.1
38,ss_link,100.28,0.1
38,nn,21.91,0.1
39,ssn,15.073333333333334,0.1
39,ss_link,110.54666666666667,0.1
39,nn,24.34,0.1
40,ssn,16.93,0.1
40,ss_link,126.35666666666667,0.1
40,nn,27.123333333333335,0.1
41,ssn,18.64666666666667,0.1
41,ss_link,141.61,0.1
41,nn,30.886666666666667,0.1
42,ssn,21.213333333333335,0.1
42,ss_link,156.41666666666666,0.1
42,nn,34.833333333333336,0.1
43,ssn,23.496666666666666,0.1
43,ss_link,177.01,0.1
43,nn,38.29,0.1
44,ssn,26.516666666666666,0.1
44,ss_link,198.19666666666666,0.1
44,nn,43.07,0.1
45,ssn,29.616666666666667,0.1
45,ss_link,224.04666666666665,0.1
45,nn,48.45333333333333,0.1
46,ssn,33.72666666666667,0.1
46,ss_link,251.56,0.1
46,nn,55.28,0.1
47,ssn,38.41,0.1
47,ss_link,281.42333333333335,0.1
47,nn,61.586666666666666,0.1
48,ssn,42.05,0.1
48,ss_link,316.29333333333335,0.1
48,nn,69.67666666666666,0.1
49,ssn,47.08,0.1
49,ss_link,354.77666666666664,0.1
49,nn,78.48,0.1
50,ssn,52.95,0.1
50,ss_link,398.16333333333336,0.1
50,nn,87.22,0.1
51,ssn,59.473333333333336,0.1
51,ss_link,449.0366666666667,0.1
51,nn,96.82,0.1
52,ssn,66.27333333333333,0.1
52,ss_link,503.27666666666664,0.1
52,nn,110.33,0.1
53,ssn,73.68666666666667,0.1
53,ss_link,561.2533333333333,0.1
53,nn,122.25666666666666,0.1
54,ssn,84.20666666666666,0.1
54,ss_link,627.9433333333334,0.1
54,nn,138.13666666666666,0.1
55,ssn,93.60666666666667,0.1
55,ss_link,704.8266666666667,0.1
55,nn,154.81666666666666,0.1
56,ssn,105.90666666666667,0.1
56,ss_link,789.2066666666667,0.1
56,nn,174.28333333333333,0.1
57,ssn,118.81,0.1
57,ss_link,880.0666666666667,0.1
57,nn,192.76666666666668,0.1
58,ssn,133.28666666666666,0.1
58,ss_link,987.42,0.1
58,nn,218.41333333333333,0.1
59,ssn,148.13666666666666,0.1
59,ss_link,1106.59,0.1
59,nn,245.42,0.1
60,ssn,39.526666666666664,0.1
60,ss_link,1352.5466666666666,0.1
60,nn,297.5,0.1
61,ssn,44.276666666666664,0.1
61,ss_link,1520.51,0.1
