R_change,method,k,k_lower,k_upper
-2.5,fit_k,0.5251208328831007,0.46707176949560464,0.5871964490088969
-2.5,mix_fit_k,0.5665272862197401,0.4790573380276094,1.7961186911526024
-2,fit_k,0.6479687560852145,0.5106199993076881,0.8069205723149186
-2,mix_fit_k,0.7490685024099331,0.5262367910359564,1.8275693243964042
-1.5,fit_k,0.771929566968223,0.5687388546972959,0.94141851315827485
-1.5,mix_fit_k,0.8758310993391072,0.5846177451897715,1.8532477386408517
-1,fit_k,0.8808093163226777,0.6535904225599816,1.037331512204974
-1,mix_fit_k,0.9444520623486836,0.6884598132711706,1.6612575483377086
-0.5,fit_k,0.9606660108368563,0.7763334623194843,1.1050814683853425
-0.5,mix_fit_k,0.9903031213746107,0.7936715183934822,1.7391650611086074
0,fit_k,1.0010655990157205,0.8481444145391196,1.196202429906568
0,mix_fit_k,1.0269047674098704,0.8550320194510459,1.5890035229175343
0.5,fit_k,0.9627401396666813,0.7741140411776635,1.1059881395310562
0.5,mix_fit_k,0.9953537024590073,0.7975982930696679,1.6843136020671579
1,fit_k,0.879702138284212,0.651918987778082,1.0305769326975165
1,mix_fit_k,0.9389852532731149,0.6768810241477774,1.7659627425785454
1.5,fit_k,0.7747419845958942,0.5705403181122621,0.9373613429087868
1.5,mix_fit_k,0.8694861241383882,0.5999856162543229,1.7357359373679586
2,fit_k,0.6483953247707165,0.5183594294556431,0.8179867210063753
2,mix_fit_k,0.7568593895913271,0.5313204595152401,1.6670007382985068
2.5,fit_k,0.5218280126950743,0.46148029667125245,0.5880106899167986
2.5,mix_fit_k,0.5637335745742604,0.4680706266229083,2.3698167841444375
